,region,number_of_cases,number_of_cases_for_10k,date
1460,Wielkopolskie,770,2.2,2021-02-16
1461,Zachodniopomorskie,430,2.54,2021-02-16
1462,Cały kraj,9073,2.37,2021-02-17
1463,Dolnośląskie,544,1.88,2021-02-17
1464,Kujawsko-pomorskie,762,3.68,2021-02-17
1465,Lubelskie,326,1.55,2021-02-17
1466,Lubuskie,384,3.8,2021-02-17
1467,Łódzkie,311,1.27,2021-02-17
1468,Małopolskie,427,1.25,2021-02-17
1469,Mazowieckie,1633,3.01,2021-02-17
1470,Opolskie,160,1.63,2021-02-17
1471,Podkarpackie,487,2.29,2021-02-17
1472,Podlaskie,265,2.25,2021-02-17
1473,Pomorskie,807,3.44,2021-02-17
1474,Śląskie,725,1.61,2021-02-17
1475,Świętokrzyskie,201,1.63,2021-02-17
1476,Warmińsko-mazurskie,774,5.45,2021-02-17
1477,Wielkopolskie,709,2.03,2021-02-17
1478,Zachodniopomorskie,428,2.53,2021-02-17
1479,Cały kraj,8777,2.29,2021-02-18
1480,Dolnośląskie,554,1.91,2021-02-18
1481,Kujawsko-pomorskie,601,2.9,2021-02-18
1482,Lubelskie,328,1.56,2021-02-18
1483,Lubuskie,299,2.96,2021-02-18
1484,Łódzkie,495,2.02,2021-02-18
1485,Małopolskie,548,1.61,2021-02-18
1486,Mazowieckie,1427,2.63,2021-02-18
1487,Opolskie,122,1.24,2021-02-18
1488,Podkarpackie,464,2.18,2021-02-18
1489,Podlaskie,271,2.3,2021-02-18
1490,Pomorskie,787,3.35,2021-02-18
1491,Śląskie,829,1.84,2021-02-18
1492,Świętokrzyskie,142,1.15,2021-02-18
1493,Warmińsko-mazurskie,732,5.15,2021-02-18
1494,Wielkopolskie,676,1.93,2021-02-18
1495,Zachodniopomorskie,346,2.04,2021-02-18
1496,Cały kraj,8510,2.22,2021-02-19
1497,Dolnośląskie,547,1.89,2021-02-19
1498,Kujawsko-pomorskie,535,2.59,2021-02-19
1499,Lubelskie,313,1.49,2021-02-19
1500,Lubuskie,267,2.64,2021-02-19
1501,Łódzkie,447,1.83,2021-02-19
1502,Małopolskie,493,1.44,2021-02-19
1503,Mazowieckie,1393,2.57,2021-02-19
1504,Opolskie,133,1.36,2021-02-19
1505,Podkarpackie,461,2.17,2021-02-19
1506,Podlaskie,315,2.68,2021-02-19
1507,Pomorskie,779,3.32,2021-02-19
1508,Śląskie,818,1.81,2021-02-19
1509,Świętokrzyskie,159,1.29,2021-02-19
1510,Warmińsko-mazurskie,736,5.18,2021-02-19
1511,Wielkopolskie,552,1.58,2021-02-19
1512,Zachodniopomorskie,373,2.2,2021-02-19
1513,Cały kraj,7038,1.84,2021-02-20
1514,Dolnośląskie,420,1.45,2021-02-20
1515,Kujawsko-pomorskie,459,2.22,2021-02-20
1516,Lubelskie,290,1.38,2021-02-20
1517,Lubuskie,294,2.91,2021-02-20
1518,Łódzkie,264,1.08,2021-02-20
1519,Małopolskie,380,1.11,2021-02-20
1520,Mazowieckie,1339,2.47,2021-02-20
1521,Opolskie,137,1.4,2021-02-20
1522,Podkarpackie,278,1.31,2021-02-20
1523,Podlaskie,215,1.83,2021-02-20
1524,Pomorskie,727,3.1,2021-02-20
1525,Śląskie,662,1.47,2021-02-20
1526,Świętokrzyskie,131,1.07,2021-02-20
1527,Warmińsko-mazurskie,364,2.56,2021-02-20
1528,Wielkopolskie,673,1.92,2021-02-20
1529,Zachodniopomorskie,230,1.36,2021-02-20
1530,Cały kraj,3890,1.01,2021-02-21
1531,Dolnośląskie,254,0.88,2021-02-21
1532,Kujawsko-pomorskie,217,1.05,2021-02-21
1533,Lubelskie,101,0.48,2021-02-21
1534,Lubuskie,204,2.02,2021-02-21
1535,Łódzkie,138,0.56,2021-02-21
1536,Małopolskie,234,0.69,2021-02-21
1537,Mazowieckie,699,1.29,2021-02-21
1538,Opolskie,52,0.53,2021-02-21
1539,Podkarpackie,363,1.71,2021-02-21
1540,Podlaskie,79,0.67,2021-02-21
1541,Pomorskie,545,2.32,2021-02-21
1542,Śląskie,306,0.68,2021-02-21
1543,Świętokrzyskie,85,0.69,2021-02-21
1544,Warmińsko-mazurskie,158,1.11,2021-02-21
1545,Wielkopolskie,217,0.62,2021-02-21
1546,Zachodniopomorskie,111,0.66,2021-02-21
1547,Cały kraj,6310,1.65,2021-02-22
1548,Dolnośląskie,348,1.2,2021-02-22
1549,Kujawsko-pomorskie,453,2.19,2021-02-22
1550,Lubelskie,328,1.56,2021-02-22
1551,Lubuskie,145,1.44,2021-02-22
1552,Łódzkie,401,1.64,2021-02-22
1553,Małopolskie,293,0.86,2021-02-22
1554,Mazowieckie,1028,1.89,2021-02-22
1555,Opolskie,73,0.74,2021-02-22
1556,Podkarpackie,253,1.19,2021-02-22
1557,Podlaskie,193,1.64,2021-02-22
1558,Pomorskie,515,2.19,2021-02-22
1559,Śląskie,461,1.02,2021-02-22
1560,Świętokrzyskie,119,0.97,2021-02-22
1561,Warmińsko-mazurskie,725,5.1,2021-02-22
1562,Wielkopolskie,450,1.29,2021-02-22
1563,Zachodniopomorskie,330,1.95,2021-02-22
1564,Cały kraj,12146,3.17,2021-02-23
1565,Dolnośląskie,642,2.21,2021-02-23
1566,Kujawsko-pomorskie,741,3.58,2021-02-23
1567,Lubelskie,451,2.14,2021-02-23
1568,Lubuskie,345,3.42,2021-02-23
1569,Łódzkie,639,2.61,2021-02-23
1570,Małopolskie,718,2.1,2021-02-23
1571,Mazowieckie,1961,3.61,2021-02-23
1572,Opolskie,108,1.1,2021-02-23
1573,Podkarpackie,656,3.09,2021-02-23
1574,Podlaskie,449,3.82,2021-02-23
1575,Pomorskie,1113,4.74,2021-02-23
1576,Śląskie,1529,3.39,2021-02-23
1577,Świętokrzyskie,236,1.92,2021-02-23
1578,Warmińsko-mazurskie,970,6.83,2021-02-23
1579,Wielkopolskie,962,2.75,2021-02-23
1580,Zachodniopomorskie,412,2.43,2021-02-23
1581,Cały kraj,12142,3.17,2021-02-24
1582,Dolnośląskie,854,2.95,2021-02-24
1583,Kujawsko-pomorskie,859,4.15,2021-02-24
1584,Lubelskie,432,2.05,2021-02-24
1585,Lubuskie,441,4.37,2021-02-24
1586,Łódzkie,511,2.09,2021-02-24
1587,Małopolskie,752,2.2,2021-02-24
1588,Mazowieckie,1984,3.66,2021-02-24
1589,Opolskie,212,2.16,2021-02-24
1590,Podkarpackie,779,3.66,2021-02-24
1591,Podlaskie,403,3.43,2021-02-24
1592,Pomorskie,1112,4.74,2021-02-24
1593,Śląskie,1173,2.6,2021-02-24
1594,Świętokrzyskie,319,2.59,2021-02-24
1595,Warmińsko-mazurskie,810,5.7,2021-02-24
1596,Wielkopolskie,862,2.46,2021-02-24
1597,Zachodniopomorskie,461,2.72,2021-02-24
1598,Cały kraj,11539,3.01,2021-02-25
1599,Dolnośląskie,849,2.93,2021-02-25
1600,Kujawsko-pomorskie,743,3.59,2021-02-25
1601,Lubelskie,406,1.93,2021-02-25
1602,Lubuskie,461,4.56,2021-02-25
1603,Łódzkie,512,2.09,2021-02-25
1604,Małopolskie,660,1.93,2021-02-25
1605,Mazowieckie,2098,3.87,2021-02-25
1606,Opolskie,157,1.6,2021-02-25
1607,Podkarpackie,680,3.2,2021-02-25
1608,Podlaskie,353,3.0,2021-02-25
1609,Pomorskie,1050,4.47,2021-02-25
1610,Śląskie,1018,2.26,2021-02-25
1611,Świętokrzyskie,201,1.63,2021-02-25
1612,Warmińsko-mazurskie,960,6.76,2021-02-25
1613,Wielkopolskie,806,2.3,2021-02-25
1614,Zachodniopomorskie,395,2.33,2021-02-25
1615,Cały kraj,12100,3.15,2021-02-26
1616,Dolnośląskie,799,2.76,2021-02-26
1617,Kujawsko-pomorskie,708,3.42,2021-02-26
1618,Lubelskie,408,1.94,2021-02-26
1619,Lubuskie,383,3.79,2021-02-26
1620,Łódzkie,710,2.9,2021-02-26
1621,Małopolskie,629,1.84,2021-02-26
1622,Mazowieckie,2272,4.19,2021-02-26
1623,Opolskie,120,1.22,2021-02-26
1624,Podkarpackie,684,3.22,2021-02-26
1625,Podlaskie,327,2.78,2021-02-26
1626,Pomorskie,1050,4.47,2021-02-26
1627,Śląskie,1272,2.82,2021-02-26
1628,Świętokrzyskie,269,2.19,2021-02-26
1629,Warmińsko-mazurskie,943,6.64,2021-02-26
1630,Wielkopolskie,936,2.67,2021-02-26
1631,Zachodniopomorskie,455,2.69,2021-02-26
1632,Cały kraj,10099,2.63,2021-02-27
1633,Dolnośląskie,662,2.28,2021-02-27
1634,Kujawsko-pomorskie,480,2.32,2021-02-27
1635,Lubelskie,326,1.55,2021-02-27
1636,Lubuskie,455,4.5,2021-02-27
1637,Łódzkie,368,1.5,2021-02-27
1638,Małopolskie,738,2.16,2021-02-27
1639,Mazowieckie,2069,3.81,2021-02-27
1640,Opolskie,139,1.42,2021-02-27
1641,Podkarpackie,532,2.5,2021-02-27
1642,Podlaskie,216,1.84,2021-02-27
1643,Pomorskie,943,4.02,2021-02-27
1644,Śląskie,997,2.21,2021-02-27
1645,Świętokrzyskie,157,1.28,2021-02-27
1646,Warmińsko-mazurskie,593,4.17,2021-02-27
1647,Wielkopolskie,934,2.67,2021-02-27
1648,Zachodniopomorskie,288,1.7,2021-02-27
1649,Cały kraj,4786,1.25,2021-02-28
1650,Dolnośląskie,352,1.21,2021-02-28
1651,Kujawsko-pomorskie,336,1.62,2021-02-28
1652,Lubelskie,97,0.46,2021-02-28
1653,Lubuskie,117,1.16,2021-02-28
1654,Łódzkie,186,0.76,2021-02-28
1655,Małopolskie,282,0.83,2021-02-28
1656,Mazowieckie,1051,1.94,2021-02-28
1657,Opolskie,84,0.86,2021-02-28
1658,Podkarpackie,335,1.58,2021-02-28
1659,Podlaskie,104,0.88,2021-02-28
1660,Pomorskie,643,2.74,2021-02-28
1661,Śląskie,373,0.83,2021-02-28
1662,Świętokrzyskie,180,1.46,2021-02-28
1663,Warmińsko-mazurskie,197,1.39,2021-02-28
1664,Wielkopolskie,202,0.58,2021-02-28
1665,Zachodniopomorskie,139,0.82,2021-02-28
1666,Cały kraj,7937,2.07,2021-03-01
1667,Dolnośląskie,434,1.5,2021-03-01
1668,Kujawsko-pomorskie,530,2.56,2021-03-01
1669,Lubelskie,371,1.76,2021-03-01
1670,Lubuskie,177,1.75,2021-03-01
1671,Łódzkie,444,1.81,2021-03-01
1672,Małopolskie,521,1.53,2021-03-01
1673,Mazowieckie,1279,2.36,2021-03-01
1674,Opolskie,90,0.92,2021-03-01
1675,Podkarpackie,493,2.32,2021-03-01
1676,Podlaskie,307,2.61,2021-03-01
1677,Pomorskie,600,2.56,2021-03-01
1678,Śląskie,746,1.65,2021-03-01
1679,Świętokrzyskie,152,1.24,2021-03-01
1680,Warmińsko-mazurskie,924,6.5,2021-03-01
1681,Wielkopolskie,474,1.35,2021-03-01
1682,Zachodniopomorskie,247,1.46,2021-03-01
1683,Cały kraj,15698,4.09,2021-03-02
1684,Dolnośląskie,782,2.7,2021-03-02
1685,Kujawsko-pomorskie,949,4.59,2021-03-02
1686,Lubelskie,500,2.38,2021-03-02
1687,Lubuskie,387,3.83,2021-03-02
1688,Łódzkie,960,3.92,2021-03-02
1689,Małopolskie,1272,3.73,2021-03-02
1690,Mazowieckie,2750,5.07,2021-03-02
1691,Opolskie,208,2.12,2021-03-02
1692,Podkarpackie,687,3.23,2021-03-02
1693,Podlaskie,461,3.92,2021-03-02
1694,Pomorskie,1399,5.96,2021-03-02
1695,Śląskie,1989,4.41,2021-03-02
1696,Świętokrzyskie,274,2.23,2021-03-02
1697,Warmińsko-mazurskie,1132,7.97,2021-03-02
1698,Wielkopolskie,1212,3.46,2021-03-02
1699,Zachodniopomorskie,605,3.57,2021-03-02
1700,Cały kraj,15250,3.98,2021-03-03
1701,Dolnośląskie,1174,4.05,2021-03-03
1702,Kujawsko-pomorskie,1049,5.07,2021-03-03
1703,Lubelskie,477,2.27,2021-03-03
1704,Lubuskie,490,4.85,2021-03-03
1705,Łódzkie,793,3.24,2021-03-03
1706,Małopolskie,953,2.79,2021-03-03
1707,Mazowieckie,2563,4.72,2021-03-03
1708,Opolskie,266,2.71,2021-03-03
1709,Podkarpackie,941,4.43,2021-03-03
1710,Podlaskie,438,3.72,2021-03-03
1711,Pomorskie,1337,5.7,2021-03-03
1712,Śląskie,1620,3.59,2021-03-03
1713,Świętokrzyskie,381,3.1,2021-03-03
1714,Warmińsko-mazurskie,831,5.85,2021-03-03
1715,Wielkopolskie,1251,3.57,2021-03-03
1716,Zachodniopomorskie,476,2.81,2021-03-03
1717,Cały kraj,15829,4.13,2021-03-04
1718,Dolnośląskie,1093,3.77,2021-03-04
1719,Kujawsko-pomorskie,983,4.75,2021-03-04
1720,Lubelskie,450,2.14,2021-03-04
1721,Lubuskie,585,5.79,2021-03-04
1722,Łódzkie,700,2.86,2021-03-04
1723,Małopolskie,1015,2.97,2021-03-04
1724,Mazowieckie,2910,5.36,2021-03-04
1725,Opolskie,227,2.31,2021-03-04
1726,Podkarpackie,1008,4.74,2021-03-04
1727,Podlaskie,405,3.44,2021-03-04
1728,Pomorskie,1318,5.62,2021-03-04
1729,Śląskie,1873,4.15,2021-03-04
1730,Świętokrzyskie,318,2.59,2021-03-04
1731,Warmińsko-mazurskie,1083,7.62,2021-03-04
1732,Wielkopolskie,1138,3.25,2021-03-04
1733,Zachodniopomorskie,467,2.76,2021-03-04
1734,Cały kraj,14857,3.87,2021-03-05
1735,Dolnośląskie,1233,4.25,2021-03-05
1736,Kujawsko-pomorskie,833,4.03,2021-03-05
1737,Lubelskie,429,2.04,2021-03-05
1738,Lubuskie,642,6.36,2021-03-05
1739,Łódzkie,737,3.01,2021-03-05
1740,Małopolskie,1062,3.11,2021-03-05
1741,Mazowieckie,2504,4.61,2021-03-05
1742,Opolskie,198,2.02,2021-03-05
1743,Podkarpackie,811,3.81,2021-03-05
1744,Podlaskie,448,3.81,2021-03-05
1745,Pomorskie,1303,5.55,2021-03-05
1746,Śląskie,1536,3.41,2021-03-05
1747,Świętokrzyskie,268,2.18,2021-03-05
1748,Warmińsko-mazurskie,1129,7.95,2021-03-05
1749,Wielkopolskie,962,2.75,2021-03-05
1750,Zachodniopomorskie,486,2.87,2021-03-05
1751,Cały kraj,13574,3.54,2021-03-06
1752,Dolnośląskie,909,3.14,2021-03-06
1753,Kujawsko-pomorskie,696,3.36,2021-03-06
1754,Lubelskie,406,1.93,2021-03-06
1755,Lubuskie,476,4.71,2021-03-06
1756,Łódzkie,577,2.36,2021-03-06
1757,Małopolskie,997,2.92,2021-03-06
1758,Mazowieckie,2807,5.17,2021-03-06
1759,Opolskie,240,2.45,2021-03-06
1760,Podkarpackie,718,3.38,2021-03-06
1761,Podlaskie,253,2.15,2021-03-06
1762,Pomorskie,1098,4.68,2021-03-06
1763,Śląskie,1596,3.54,2021-03-06
1764,Świętokrzyskie,263,2.14,2021-03-06
1765,Warmińsko-mazurskie,706,4.97,2021-03-06
1766,Wielkopolskie,1198,3.42,2021-03-06
1767,Zachodniopomorskie,372,2.2,2021-03-06
1768,Cały kraj,6170,1.61,2021-03-07
1769,Dolnośląskie,449,1.55,2021-03-07
1770,Kujawsko-pomorskie,299,1.44,2021-03-07
1771,Lubelskie,122,0.58,2021-03-07
1772,Lubuskie,308,3.05,2021-03-07
1773,Łódzkie,235,0.96,2021-03-07
1774,Małopolskie,499,1.46,2021-03-07
1775,Mazowieckie,1289,2.37,2021-03-07
1776,Opolskie,122,1.24,2021-03-07
1777,Podkarpackie,431,2.03,2021-03-07
1778,Podlaskie,86,0.73,2021-03-07
1779,Pomorskie,715,3.05,2021-03-07
1780,Śląskie,520,1.15,2021-03-07
1781,Świętokrzyskie,128,1.04,2021-03-07
1782,Warmińsko-mazurskie,202,1.42,2021-03-07
1783,Wielkopolskie,401,1.15,2021-03-07
1784,Zachodniopomorskie,188,1.11,2021-03-07
1785,Cały kraj,9954,2.6,2021-03-08
1786,Dolnośląskie,681,2.35,2021-03-08
1787,Kujawsko-pomorskie,728,3.52,2021-03-08
1788,Lubelskie,512,2.43,2021-03-08
1789,Lubuskie,240,2.38,2021-03-08
1790,Łódzkie,621,2.54,2021-03-08
1791,Małopolskie,583,1.71,2021-03-08
1792,Mazowieckie,1772,3.26,2021-03-08
1793,Opolskie,123,1.25,2021-03-08
1794,Podkarpackie,471,2.22,2021-03-08
1795,Podlaskie,303,2.58,2021-03-08
1796,Pomorskie,613,2.61,2021-03-08
1797,Śląskie,1061,2.35,2021-03-08
1798,Świętokrzyskie,240,1.95,2021-03-08
1799,Warmińsko-mazurskie,835,5.88,2021-03-08
1800,Wielkopolskie,663,1.89,2021-03-08
1801,Zachodniopomorskie,289,1.71,2021-03-08
1802,Cały kraj,17260,4.5,2021-03-09
1803,Dolnośląskie,1047,3.61,2021-03-09
1804,Kujawsko-pomorskie,946,4.57,2021-03-09
1805,Lubelskie,616,2.93,2021-03-09
1806,Lubuskie,413,4.09,2021-03-09
1807,Łódzkie,1022,4.17,2021-03-09
1808,Małopolskie,1497,4.38,2021-03-09
1809,Mazowieckie,2596,4.78,2021-03-09
1810,Opolskie,250,2.55,2021-03-09
1811,Podkarpackie,976,4.59,2021-03-09
1812,Podlaskie,518,4.4,2021-03-09
1813,Pomorskie,1207,5.14,2021-03-09
1814,Śląskie,2452,5.44,2021-03-09
1815,Świętokrzyskie,338,2.75,2021-03-09
1816,Warmińsko-mazurskie,1272,8.95,2021-03-09
1817,Wielkopolskie,1358,3.88,2021-03-09
1818,Zachodniopomorskie,478,2.82,2021-03-09
1819,Cały kraj,21045,5.49,2021-03-10
1820,Dolnośląskie,1502,5.18,2021-03-10
1821,Kujawsko-pomorskie,1314,6.35,2021-03-10
1822,Lubelskie,601,2.86,2021-03-10
1823,Lubuskie,632,6.26,2021-03-10
1824,Łódzkie,1068,4.36,2021-03-10
1825,Małopolskie,1607,4.71,2021-03-10
1826,Mazowieckie,3756,6.92,2021-03-10
1827,Opolskie,287,2.93,2021-03-10
1828,Podkarpackie,1255,5.9,2021-03-10
1829,Podlaskie,450,3.82,2021-03-10
1830,Pomorskie,1704,7.26,2021-03-10
1831,Śląskie,2597,5.76,2021-03-10
1832,Świętokrzyskie,567,4.61,2021-03-10
1833,Warmińsko-mazurskie,999,7.03,2021-03-10
1834,Wielkopolskie,1670,4.77,2021-03-10
1835,Zachodniopomorskie,698,4.12,2021-03-10
1836,Cały kraj,18775,4.9,2021-03-11
1837,Dolnośląskie,1407,4.85,2021-03-11
1838,Kujawsko-pomorskie,993,4.8,2021-03-11
1839,Lubelskie,618,2.94,2021-03-11
1840,Lubuskie,751,7.43,2021-03-11
1841,Łódzkie,868,3.54,2021-03-11
1842,Małopolskie,1336,3.91,2021-03-11
1843,Mazowieckie,3073,5.66,2021-03-11
1844,Opolskie,360,3.67,2021-03-11
1845,Podkarpackie,1023,4.81,2021-03-11
1846,Podlaskie,471,4.0,2021-03-11
1847,Pomorskie,1526,6.5,2021-03-11
1848,Śląskie,2302,5.11,2021-03-11
1849,Świętokrzyskie,409,3.33,2021-03-11
1850,Warmińsko-mazurskie,969,6.82,2021-03-11
1851,Wielkopolskie,1678,4.79,2021-03-11
1852,Zachodniopomorskie,702,4.15,2021-03-11
1853,Cały kraj,21049,5.49,2021-03-12
1854,Dolnośląskie,1687,5.82,2021-03-12
1855,Kujawsko-pomorskie,1225,5.92,2021-03-12
1856,Lubelskie,667,3.17,2021-03-12
1857,Lubuskie,653,6.46,2021-03-12
1858,Łódzkie,1185,4.84,2021-03-12
1859,Małopolskie,1686,4.94,2021-03-12
1860,Mazowieckie,3891,7.17,2021-03-12
1861,Opolskie,347,3.54,2021-03-12
1862,Podkarpackie,889,4.18,2021-03-12
1863,Podlaskie,428,3.64,2021-03-12
1864,Pomorskie,1494,6.37,2021-03-12
1865,Śląskie,2682,5.95,2021-03-12
1866,Świętokrzyskie,476,3.87,2021-03-12
1867,Warmińsko-mazurskie,1115,7.85,2021-03-12
1868,Wielkopolskie,1828,5.22,2021-03-12
1869,Zachodniopomorskie,527,3.11,2021-03-12
1870,Cały kraj,17259,4.5,2021-03-13
1871,Dolnośląskie,1263,4.36,2021-03-13
1872,Kujawsko-pomorskie,843,4.07,2021-03-13
1873,Lubelskie,438,2.08,2021-03-13
1874,Lubuskie,517,5.12,2021-03-13
1875,Łódzkie,782,3.19,2021-03-13
1876,Małopolskie,1379,4.04,2021-03-13
1877,Mazowieckie,3430,6.32,2021-03-13
1878,Opolskie,294,3.0,2021-03-13
1879,Podkarpackie,1064,5.0,2021-03-13
1880,Podlaskie,276,2.35,2021-03-13
1881,Pomorskie,1318,5.62,2021-03-13
1882,Śląskie,2331,5.17,2021-03-13
1883,Świętokrzyskie,303,2.46,2021-03-13
1884,Warmińsko-mazurskie,759,5.34,2021-03-13
1885,Wielkopolskie,1508,4.31,2021-03-13
1886,Zachodniopomorskie,447,2.64,2021-03-13
1887,Cały kraj,10896,2.84,2021-03-14
1888,Dolnośląskie,939,3.24,2021-03-14
1889,Kujawsko-pomorskie,596,2.88,2021-03-14
1890,Lubelskie,139,0.66,2021-03-14
1891,Lubuskie,396,3.92,2021-03-14
1892,Łódzkie,460,1.88,2021-03-14
1893,Małopolskie,699,2.05,2021-03-14
1894,Mazowieckie,2311,4.26,2021-03-14
1895,Opolskie,265,2.7,2021-03-14
1896,Podkarpackie,567,2.67,2021-03-14
1897,Podlaskie,192,1.63,2021-03-14
1898,Pomorskie,1100,4.69,2021-03-14
1899,Śląskie,1247,2.77,2021-03-14
1900,Świętokrzyskie,266,2.16,2021-03-14
1901,Warmińsko-mazurskie,271,1.91,2021-03-14
1902,Wielkopolskie,871,2.49,2021-03-14
1903,Zachodniopomorskie,344,2.03,2021-03-14
1904,Cały kraj,14396,3.75,2021-03-15
1905,Dolnośląskie,936,3.23,2021-03-15
1906,Kujawsko-pomorskie,972,4.7,2021-03-15
1907,Lubelskie,628,2.99,2021-03-15
1908,Lubuskie,288,2.85,2021-03-15
1909,Łódzkie,1064,4.35,2021-03-15
1910,Małopolskie,1044,3.06,2021-03-15
1911,Mazowieckie,2347,4.32,2021-03-15
1912,Opolskie,168,1.71,2021-03-15
1913,Podkarpackie,785,3.69,2021-03-15
1914,Podlaskie,304,2.58,2021-03-15
1915,Pomorskie,1030,4.39,2021-03-15
1916,Śląskie,1716,3.81,2021-03-15
1917,Świętokrzyskie,373,3.03,2021-03-15
1918,Warmińsko-mazurskie,1003,7.06,2021-03-15
1919,Wielkopolskie,954,2.73,2021-03-15
1920,Zachodniopomorskie,458,2.7,2021-03-15
1921,Cały kraj,25052,6.53,2021-03-16
1922,Dolnośląskie,1672,5.77,2021-03-16
1923,Kujawsko-pomorskie,1275,6.16,2021-03-16
1924,Lubelskie,840,3.99,2021-03-16
1925,Lubuskie,698,6.91,2021-03-16
1926,Łódzkie,1466,5.99,2021-03-16
1927,Małopolskie,2050,6.0,2021-03-16
1928,Mazowieckie,4142,7.63,2021-03-16
1929,Opolskie,357,3.64,2021-03-16
1930,Podkarpackie,1319,6.2,2021-03-16
1931,Podlaskie,621,5.28,2021-03-16
1932,Pomorskie,1685,7.18,2021-03-16
1933,Śląskie,4030,8.94,2021-03-16
1934,Świętokrzyskie,535,4.35,2021-03-16
1935,Warmińsko-mazurskie,1097,7.72,2021-03-16
1936,Wielkopolskie,2034,5.81,2021-03-16
1937,Zachodniopomorskie,795,4.7,2021-03-16
1938,Cały kraj,27278,7.11,2021-03-17
1939,Dolnośląskie,2371,8.18,2021-03-17
1940,Kujawsko-pomorskie,1734,8.38,2021-03-17
1941,Lubelskie,874,4.16,2021-03-17
1942,Lubuskie,672,6.65,2021-03-17
1943,Łódzkie,1349,5.51,2021-03-17
1944,Małopolskie,2192,6.42,2021-03-17
1945,Mazowieckie,4408,8.12,2021-03-17
1946,Opolskie,637,6.49,2021-03-17
1947,Podkarpackie,1449,6.82,2021-03-17
1948,Podlaskie,486,4.13,2021-03-17
1949,Pomorskie,1758,7.49,2021-03-17
1950,Śląskie,3788,8.4,2021-03-17
1951,Świętokrzyskie,707,5.75,2021-03-17
1952,Warmińsko-mazurskie,1109,7.81,2021-03-17
1953,Wielkopolskie,2493,7.12,2021-03-17
1954,Zachodniopomorskie,820,4.84,2021-03-17
1955,Cały kraj,25998,6.78,2021-03-18
1956,Dolnośląskie,2144,7.4,2021-03-18
1957,Kujawsko-pomorskie,1567,7.57,2021-03-18
1958,Lubelskie,834,3.97,2021-03-18
1959,Lubuskie,747,7.39,2021-03-18
1960,Łódzkie,1360,5.55,2021-03-18
1961,Małopolskie,1914,5.61,2021-03-18
1962,Mazowieckie,4219,7.77,2021-03-18
1963,Opolskie,564,5.75,2021-03-18
1964,Podkarpackie,1334,6.27,2021-03-18
1965,Podlaskie,473,4.02,2021-03-18
1966,Pomorskie,1604,6.84,2021-03-18
1967,Śląskie,3728,8.27,2021-03-18
1968,Świętokrzyskie,576,4.68,2021-03-18
1969,Warmińsko-mazurskie,1002,7.05,2021-03-18
1970,Wielkopolskie,2643,7.55,2021-03-18
1971,Zachodniopomorskie,899,5.31,2021-03-18
1972,Cały kraj,26405,6.88,2021-03-19
1973,Dolnośląskie,2226,7.68,2021-03-19
1974,Kujawsko-pomorskie,1489,7.2,2021-03-19
1975,Lubelskie,728,3.46,2021-03-19
1976,Lubuskie,773,7.65,2021-03-19
1977,Łódzkie,1419,5.79,2021-03-19
1978,Małopolskie,2138,6.26,2021-03-19
1979,Mazowieckie,4166,7.67,2021-03-19
1980,Opolskie,472,4.81,2021-03-19
1981,Podkarpackie,1398,6.58,2021-03-19
1982,Podlaskie,522,4.44,2021-03-19
1983,Pomorskie,1842,7.85,2021-03-19
1984,Śląskie,3600,7.99,2021-03-19
1985,Świętokrzyskie,736,5.98,2021-03-19
1986,Warmińsko-mazurskie,869,6.12,2021-03-19
1987,Wielkopolskie,2791,7.97,2021-03-19
1988,Zachodniopomorskie,864,5.1,2021-03-19
1989,Cały kraj,21849,5.7,2021-03-20
1990,Dolnośląskie,1693,5.84,2021-03-20
1991,Kujawsko-pomorskie,1155,5.58,2021-03-20
1992,Lubelskie,633,3.01,2021-03-20
1993,Lubuskie,701,6.94,2021-03-20
1994,Łódzkie,1110,4.53,2021-03-20
1995,Małopolskie,1715,5.02,2021-03-20
1996,Mazowieckie,3852,7.1,2021-03-20
1997,Opolskie,500,5.1,2021-03-20
1998,Podkarpackie,1211,5.7,2021-03-20
1999,Podlaskie,351,2.98,2021-03-20
2000,Pomorskie,1213,5.17,2021-03-20
2001,Śląskie,3649,8.09,2021-03-20
2002,Świętokrzyskie,461,3.75,2021-03-20
2003,Warmińsko-mazurskie,605,4.26,2021-03-20
2004,Wielkopolskie,2152,6.15,2021-03-20
2005,Zachodniopomorskie,662,3.91,2021-03-20
2006,Cały kraj,14578,3.8,2021-03-21
2007,Dolnośląskie,1215,4.19,2021-03-21
2008,Kujawsko-pomorskie,704,3.4,2021-03-21
2009,Lubelskie,181,0.86,2021-03-21
2010,Lubuskie,495,4.9,2021-03-21
2011,Łódzkie,862,3.52,2021-03-21
2012,Małopolskie,1207,3.54,2021-03-21
2013,Mazowieckie,2899,5.34,2021-03-21
2014,Opolskie,240,2.45,2021-03-21
2015,Podkarpackie,669,3.15,2021-03-21
2016,Podlaskie,167,1.42,2021-03-21
2017,Pomorskie,1231,5.25,2021-03-21
2018,Śląskie,1859,4.12,2021-03-21
2019,Świętokrzyskie,429,3.49,2021-03-21
2020,Warmińsko-mazurskie,310,2.18,2021-03-21
2021,Wielkopolskie,1355,3.87,2021-03-21
2022,Zachodniopomorskie,517,3.05,2021-03-21
2023,Cały kraj,16741,4.36,2021-03-22
2024,Dolnośląskie,1307,4.51,2021-03-22
